"seq";"sq_candidato";"sg_ue";"nr_candidato";"nm_urna_candidato";"sg_partido";"ds_composicao_coligacao";"ds_situacao";"qt_votos_candidato";"pr_votos_candidato";"cd_eleicao";"sg_abrangencia";"turno";"cd_cargo";"qt_sessoes";"qt_sessoes_t";"qt_sessoes_nt";"qt_sessoes_i";"qt_sessoes_ni";"qt_sessoes_apuradas";"qt_sessoes_nao_apuradas";"qt_eleitores";"qt_eleitores_aptos";"qt_eleitores_nao_aptos";"qt_eleitores_si";"qt_eleitores_sni";"qt_eleitores_compareceram";"qt_abstencoes";"vscv";"qt_votos_nominais";"qt_votos_computados";"qt_votos_brancos";"qt_votos_nulos";"qt_votos_nulos_vn";"qt_votos_nulos_vnt";"qt_votos_vp";"qt_votos_validos";"qt_votos_an";"qt_votos_anulados_sob_judice";"qt_votos_total"
"2";"250001119403";71218;45;"SOLANGE FREITAS";"PSDB";"PSDB";"Não eleito";70526;43,7;427;"MUNICIPAL";"2";"11";659;659;0;659;0;659;0;252146;252146;0;252146;0;171684;80462;"0";161402;161402;3342;6940;6940;0;0;161402;0;0;171684
"1";"250000665261";71218;19;"KAYO AMADO";"PODE";"PODE - PODE / DEM / AVANTE";"Eleito";90876;56,3;427;"MUNICIPAL";"2";"11";659;659;0;659;0;659;0;252146;252146;0;252146;0;171684;80462;"0";161402;161402;3342;6940;6940;0;0;161402;0;0;171684
"2";"170000701230";25313;13;"MARILIA ARRAES";"PT";"PT - PSOL / PTC / PMB / PT";"Não eleito";348126;43,73;427;"MUNICIPAL";"2";"11";2863;2863;0;2863;0;2863;0;1157324;1157324;0;1157324;0;911314;246010;"0";796039;796039;31717;83558;83558;0;0;796039;0;0;911314
"1";"170000688433";25313;40;"JOÃO CAMPOS";"PSB";"PSB - MDB / REDE / PC do B / SOLIDARIEDADE / PROS / PV / AVANTE / REPUBLICANOS / PP / PDT / PSD / PSB";"Eleito";447913;56,27;427;"MUNICIPAL";"2";"11";2863;2863;0;2863;0;2863;0;1157324;1157324;0;1157324;0;911314;246010;"0";796039;796039;31717;83558;83558;0;0;796039;0;0;911314
"2";"230000840534";3018;77;"OTTACI";"SOLIDARIEDADE";"SOLIDARIEDADE - SOLIDARIEDADE / PATRIOTA / PT / PSC / PSB / PTC / PRTB / PROS / DC / CIDADANIA / PTB";"Não eleito";20032;14,64;427;"MUNICIPAL";"2";"11";657;657;0;657;0;657;0;217477;217477;0;217477;0;149223;68254;"0";136824;136824;4566;7833;7833;0;0;136824;0;0;149223
"1";"230000679861";3018;15;"ARTHUR HENRIQUE";"MDB";"MDB - MDB / PMB / AVANTE";"Eleito";116792;85,36;427;"MUNICIPAL";"2";"11";657;657;0;657;0;657;0;217477;217477;0;217477;0;149223;68254;"0";136824;136824;4566;7833;7833;0;0;136824;0;0;149223
"1";"150000976695";20516;11;"CICERO LUCENA";"PP";"PP - PP / PTB / REPUBLICANOS / PTC / PMN / AVANTE / PRTB / CIDADANIA / PMB";"Eleito";185055;53,16;427;"MUNICIPAL";"2";"11";1226;1226;0;1226;0;1226;0;522269;522269;0;522269;0;400352;121917;"0";348085;348085;15164;37103;37103;0;0;348085;0;0;400352
"2";"150000719200";20516;15;"NILVAN FERREIRA";"MDB";"MDB";"Não eleito";163030;46,84;427;"MUNICIPAL";"2";"11";1226;1226;0;1226;0;1226;0;522269;522269;0;522269;0;400352;121917;"0";348085;348085;15164;37103;37103;0;0;348085;0;0;400352
"1";"130001037220";54011;77;"ELISA ARAÚJO";"SOLIDARIEDADE";"SOLIDARIEDADE";"Eleito";85990;57,36;427;"MUNICIPAL";"2";"11";656;656;0;656;0;656;0;225412;225412;0;225412;0;161867;63545;"0";149922;149922;3473;8472;8472;0;0;149922;0;0;161867
"2";"130000773401";54011;14;"TONY CARLOS";"PTB";"PTB - REDE / PSDB / PMN / PTB / DC / REPUBLICANOS / PROS / PL";"Não eleito";63932;42,64;427;"MUNICIPAL";"2";"11";656;656;0;656;0;656;0;225412;225412;0;225412;0;161867;63545;"0";149922;149922;3473;8472;8472;0;0;149922;0;0;161867
"2";"130001168801";45535;20;"DR LUCIANO";"PSC";"PSC - CIDADANIA / PROS / PSC";"Não eleito";52515;42,26;427;"MUNICIPAL";"2";"11";590;590;0;590;0;590;0;213886;213886;0;213886;0;137715;76171;"0";124279;124279;5038;8398;8398;0;0;124279;0;0;137715
"1";"130000883935";45535;45;"ANDRE MERLO";"PSDB";"PSDB - PDT / PSDB / MDB / PODE / DEM / PTC / PV";"Eleito";71764;57,74;427;"MUNICIPAL";"2";"11";590;590;0;590;0;590;0;213886;213886;0;213886;0;137715;76171;"0";124279;124279;5038;8398;8398;0;0;124279;0;0;137715
"2";"210001233238";87912;13;"IVAN DUARTE";"PT";"PT";"Não eleito";47941;31,3;427;"MUNICIPAL";"2";"11";628;628;0;628;0;628;0;240948;240948;0;240948;0;170162;70786;"0";153147;153147;7213;9802;9802;0;0;153147;0;0;170162
"1";"210001240622";87912;45;"PAULA MASCARENHAS";"PSDB";"PSDB - DC / PSL / PTB / PL / PSDB / SOLIDARIEDADE / PSD / REPUBLICANOS";"Eleito";105206;68,7;427;"MUNICIPAL";"2";"11";628;628;0;628;0;628;0;240948;240948;0;240948;0;170162;70786;"0";153147;153147;7213;9802;9802;0;0;153147;0;0;170162
"2";"140001124992";5355;13;"MARIA";"PT";"PT - PT / PSB / PC do B / PP / PROS / REDE";"Não eleito";63869;40,78;427;"MUNICIPAL";"2";"11";754;754;0;754;0;754;0;221537;221537;0;221537;0;164204;57333;"0";156601;156601;2748;4855;4855;0;0;156601;0;0;164204
"1";"140001124785";5355;25;"NÉLIO AGUIAR";"DEM";"DEM - REPUBLICANOS / PTB / CIDADANIA / PMB / PSD / AVANTE / PODE / PL / SOLIDARIEDADE / DEM / MDB";"Eleito";92732;59,22;427;"MUNICIPAL";"2";"11";754;754;0;754;0;754;0;221537;221537;0;221537;0;164204;57333;"0";156601;156601;2748;4855;4855;0;0;156601;0;0;164204
"2";"80000841104";56995;18;"FABIO";"REDE";"REDE - PMN / REDE / PATRIOTA / PODE";"Não eleito";91931;45,1;427;"MUNICIPAL";"2";"11";814;814;0;814;0;814;0;327670;327670;0;327670;0;223144;104526;"0";203851;203851;8112;11181;11181;0;0;203851;0;0;223144
"1";"80001189870";56995;12;"SERGIO VIDIGAL";"PDT";"PDT - PSD / PDT / SOLIDARIEDADE / PSL / CIDADANIA";"Eleito";111920;54,9;427;"MUNICIPAL";"2";"11";814;814;0;814;0;814;0;327670;327670;0;327670;0;223144;104526;"0";203851;203851;8112;11181;11181;0;0;203851;0;0;223144
"1";"250000736315";71455;10;"RODRIGO MANGA";"REPUBLICANOS";"REPUBLICANOS - PL / PROS / REPUBLICANOS / PP / PRTB / PSD / PTC / PTB";"Eleito";153228;52,58;427;"MUNICIPAL";"2";"11";1311;1311;0;1311;0;1311;0;485962;485962;0;485962;0;347050;138912;"0";291429;291429;16069;39552;39552;0;0;291429;0;0;347050
"2";"250000936020";71455;17;"JAQUELINE COUTINHO";"PSL";"PSL - MDB / PSL / PSC / PSB / PATRIOTA";"Não eleito";138201;47,42;427;"MUNICIPAL";"2";"11";1311;1311;0;1311;0;1311;0;485962;485962;0;485962;0;347050;138912;"0";291429;291429;16069;39552;39552;0;0;291429;0;0;347050
"2";"250000815743";66397;19;"MURILO FELIX";"PODE";"PODE - AVANTE / PODE / PSL / PDT";"Não eleito";60056;45,12;427;"MUNICIPAL";"2";"11";576;576;0;576;0;576;0;226627;226627;0;226627;0;156895;69732;"0";133098;133098;7982;15815;15815;0;0;133098;0;0;156895
"1";"250000815741";66397;55;"MARIO BOTION";"PSD";"PSD - PSD / PL / PSC / PV / PROS / PMB";"Eleito";73042;54,88;427;"MUNICIPAL";"2";"11";576;576;0;576;0;576;0;226627;226627;0;226627;0;156895;69732;"0";133098;133098;7982;15815;15815;0;0;133098;0;0;156895
"1";"210001143104";88412;45;"POZZOBOM";"PSDB";"PSDB - PTC / DEM / PTB / PODE / PSDB / PSL";"Eleito";71927;57,29;427;"MUNICIPAL";"2";"11";541;541;0;541;0;541;0;204282;204282;0;204282;0;140266;64016;"0";125543;125543;6788;7935;7935;0;0;125543;0;0;140266
"2";"210000781589";88412;11;"SERGIO CECCHIN";"PP";"PP - PROS / PP / PRTB / SOLIDARIEDADE / PL / PATRIOTA / AVANTE / MDB";"Não eleito";53616;42,71;427;"MUNICIPAL";"2";"11";541;541;0;541;0;541;0;204282;204282;0;204282;0;140266;64016;"0";125543;125543;6788;7935;7935;0;0;125543;0;0;140266
"1";"170000818682";25135;15;"YVES RIBEIRO";"MDB";"MDB - REDE / MDB / PV";"Eleito";83858;57,52;427;"MUNICIPAL";"2";"11";546;546;0;546;0;546;0;216859;216859;0;216859;0;169732;47127;"0";145789;145789;7053;16890;16890;0;0;145789;0;0;169732
"2";"170000718292";25135;40;"FRANCISCO PADILHA";"PSB";"PSB - PMB** / PMN / PATRIOTA / PTC / PSL / PT / PL / PSB / PROS / PSC / CIDADANIA / PC do B / DC";"Não eleito";61931;42,48;427;"MUNICIPAL";"2";"11";546;546;0;546;0;546;0;216859;216859;0;216859;0;169732;47127;"0";145789;145789;7053;16890;16890;0;0;145789;0;0;169732
"1";"250000780243";67130;19;"CAIO CUNHA";"PODE";"PODE - PTB / PODE / SOLIDARIEDADE";"Eleito";114656;58,39;427;"MUNICIPAL";"2";"11";824;824;0;824;0;824;0;319826;319826;0;319826;0;220456;99370;"0";196370;196370;8348;15738;15738;0;0;196370;0;0;220456
"2";"250000720963";67130;45;"MARCUS MELO";"PSDB";"PSDB - PSL / PV / DEM / PSDB / MDB / REPUBLICANOS / PP / AVANTE / PSB / PC do B / PL / REDE / PSC / CIDADANIA / PSD";"Não eleito";81714;41,61;427;"MUNICIPAL";"2";"11";824;824;0;824;0;824;0;319826;319826;0;319826;0;220456;99370;"0";196370;196370;8348;15738;15738;0;0;196370;0;0;220456
"1";"250000746140";64254;15;"ALEXANDRE FERREIRA";"MDB";"MDB - MDB / PSC / PRTB / PMN / AVANTE / PATRIOTA / SOLIDARIEDADE";"Eleito";76339;57,62;427;"MUNICIPAL";"2";"11";616;616;0;616;0;616;0;238124;238124;0;238124;0;159702;78422;"0";132490;132490;11450;15762;15762;0;0;132490;0;0;159702
"2";"250000649117";64254;55;"FLÁVIA LANCHA";"PSD";"PSD - PSD / PSB";"Não eleito";56151;42,38;427;"MUNICIPAL";"2";"11";616;616;0;616;0;616;0;238124;238124;0;238124;0;159702;78422;"0";132490;132490;11450;15762;15762;0;0;132490;0;0;159702
"2";"140001196861";4278;51;"DELEGADO FEDERAL EGUCHI";"PATRIOTA";"PATRIOTA";"Não eleito";364095;48,24;427;"MUNICIPAL";"2";"11";2562;2562;0;2562;0;2562;0;1009731;1009731;0;1009731;0;800010;209721;"0";754818;754818;15897;29295;29295;0;0;754818;0;0;800010
"1";"140000744291";4278;50;"EDMILSON RODRIGUES";"PSOL";"PSOL - PT / REDE / UP / PC do B / PSOL / PDT";"Eleito";390723;51,76;427;"MUNICIPAL";"2";"11";2562;2562;0;2562;0;2562;0;1009731;1009731;0;1009731;0;800010;209721;"0";754818;754818;15897;29295;29295;0;0;754818;0;0;800010
"1";"20000842791";27855;40;"JHC";"PSB";"PSB - PSB / PDT / PSDB";"Eleito";222147;58,64;427;"MUNICIPAL";"2";"11";1418;1418;0;1418;0;1418;0;592388;592388;0;592388;0;427649;164739;"0";378851;378851;12706;36092;36092;0;0;378851;0;0;427649
"2";"20000774385";27855;15;"ALFREDO GASPAR DE MENDONÇA";"MDB";"MDB - PL / AVANTE / MDB / PRTB / PSC / PTC / PV / PSD / PODE";"Não eleito";156704;41,36;427;"MUNICIPAL";"2";"11";1418;1418;0;1418;0;1418;0;592388;592388;0;592388;0;427649;164739;"0";378851;378851;12706;36092;36092;0;0;378851;0;0;427649
"2";"250000867103";69213;17;"DANILO MORGADO";"PSL";"PSL - PSC / PSL";"Não eleito";65780;46,48;427;"MUNICIPAL";"2";"11";587;587;0;587;0;587;0;226260;226260;0;226260;0;152330;73930;"0";141519;141519;3608;7203;7203;0;0;141519;0;0;152330
"1";"250000663009";69213;45;"RAQUEL CHINI";"PSDB";"PSDB - PSDB / MDB / CIDADANIA / DEM / SOLIDARIEDADE / PTB / PMB";"Eleito";75739;53,52;427;"MUNICIPAL";"2";"11";587;587;0;587;0;587;0;226260;226260;0;226260;0;152330;73930;"0";141519;141519;3608;7203;7203;0;0;141519;0;0;152330
"2";"50001198114";39659;13;"ZÉ RAIMUNDO";"PT";"PT - PT / PC do B / PSB / PL / PDT";"Não eleito";82942;46;427;"MUNICIPAL";"2";"11";532;532;0;532;0;532;0;231176;231176;0;231176;0;189182;41994;"0";180306;180306;2367;6509;6509;0;0;180306;0;0;189182
"1";"50000925547";39659;15;"HERZEM GUSMÃO";"MDB";"MDB - REPUBLICANOS / PTB / MDB / PODE / PMB / PSDB / DEM";"Eleito";97364;54;427;"MUNICIPAL";"2";"11";532;532;0;532;0;532;0;231176;231176;0;231176;0;189182;41994;"0";180306;180306;2367;6509;6509;0;0;180306;0;0;189182
"2";"110000825567";90670;19;"ABILIO";"PODE";"PODE - CIDADANIA / PSC / PODE";"Não eleito";129777;48,85;427;"MUNICIPAL";"2";"11";1109;1109;0;1109;0;1109;0;378097;378097;0;378097;0;284352;93745;"0";265648;265648;6325;12379;12379;0;0;265648;0;0;284352
"1";"110001046015";90670;15;"EMANUEL PINHEIRO";"MDB";"MDB - PMB / PTC / SOLIDARIEDADE / PV / REPUBLICANOS / PL / PSDB / MDB / PTB / PP / PC do B";"Eleito";135871;51,15;427;"MUNICIPAL";"2";"11";1109;1109;0;1109;0;1109;0;378097;378097;0;378097;0;284352;93745;"0";265648;265648;6325;12379;12379;0;0;265648;0;0;284352
