"seq";"sq_candidato";"sg_ue";"nr_candidato";"nm_urna_candidato";"sg_partido";"ds_composicao_coligacao";"ds_situacao";"qt_votos_candidato";"pr_votos_candidato";"cd_eleicao";"sg_abrangencia";"turno";"cd_cargo";"qt_sessoes";"qt_sessoes_t";"qt_sessoes_nt";"qt_sessoes_i";"qt_sessoes_ni";"qt_sessoes_apuradas";"qt_sessoes_nao_apuradas";"qt_eleitores";"qt_eleitores_aptos";"qt_eleitores_nao_aptos";"qt_eleitores_si";"qt_eleitores_sni";"qt_eleitores_compareceram";"qt_abstencoes";"vscv";"qt_votos_nominais";"qt_votos_computados";"qt_votos_brancos";"qt_votos_nulos";"qt_votos_nulos_vn";"qt_votos_nulos_vnt";"qt_votos_vp";"qt_votos_validos";"qt_votos_an";"qt_votos_anulados_sob_judice";"qt_votos_total"
"2";"100000831208";9210;10;"DUARTE";"REPUBLICANOS";"REPUBLICANOS - AVANTE / PL / PTC / REPUBLICANOS / PATRIOTA";"Não eleito";216665;44,47;427;"MUNICIPAL";"2";"11";1826;1826;0;1826;0;1826;0;699954;699954;0;699954;0;519050;180904;"0";487222;487222;12179;19649;19649;0;0;487222;0;0;519050
"2";"50000824378";35157;13;"ZÉ NETO";"PT";"PT - PDT / PT / AVANTE / PP / PC do B";"Não eleito";138073;45,58;427;"MUNICIPAL";"2";"11";881;881;0;881;0;881;0;400549;400549;0;400549;0;325145;75404;"0";302904;302904;5293;16948;16948;0;0;302904;0;0;325145
"1";"50000732481";35157;15;"COLBERT MARTINS";"MDB";"MDB - PSD / DEM / PV / PROS / PSC / MDB / PATRIOTA / PSDB / PL / REDE";"Eleito";164831;54,42;427;"MUNICIPAL";"2";"11";881;881;0;881;0;881;0;400549;400549;0;400549;0;325145;75404;"0";302904;302904;5293;16948;16948;0;0;302904;0;0;325145
"2";"260000637328";31054;23;"DELEGADA DANIELLE";"CIDADANIA";"CIDADANIA - CIDADANIA / PSB / PL / PSDB";"Não eleito";109864;42,14;427;"MUNICIPAL";"2";"11";1041;1041;0;1041;0;1041;0;404901;404901;0;404901;0;292304;112597;"0";260687;260687;8514;23103;23103;0;0;260687;0;0;292304
"1";"260000983413";31054;12;"EDVALDO";"PDT";"PDT - PC do B / PSD / PDT / MDB / PV / PP / PSC / SOLIDARIEDADE / REPUBLICANOS";"Eleito";150823;57,86;427;"MUNICIPAL";"2";"11";1041;1041;0;1041;0;1041;0;404901;404901;0;404901;0;292304;112597;"0";260687;260687;8514;23103;23103;0;0;260687;0;0;292304
"2";"10001154203";1392;40;"SOCORRO NERI";"PSB";"PSB - PSB / PODE / PROS / SOLIDARIEDADE / PDT / PV / DEM / PTC";"Não eleito";61702;37,07;427;"MUNICIPAL";"2";"11";707;707;0;707;0;707;0;256673;256673;0;256673;0;174249;82424;"0";166448;166448;3328;4473;4473;0;0;166448;0;0;174249
"1";"10001003637";1392;11;"TIÃO BOCALOM";"PP";"PP - PSD / PP";"Eleito";104746;62,93;427;"MUNICIPAL";"2";"11";707;707;0;707;0;707;0;256673;256673;0;256673;0;174249;82424;"0";166448;166448;3328;4473;4473;0;0;166448;0;0;174249
"1";"220001051415";35;45;"HILDON CHAVES";"PSDB";"PSDB - PSD / PL / PSDB / DEM";"Eleito";109992;54,45;427;"MUNICIPAL";"2";"11";842;842;0;842;0;842;0;333031;333031;0;333031;0;219205;113826;"0";202007;202007;5845;11353;11353;0;0;202007;0;0;219205
"2";"220001172317";35;11;"CRISTIANE LOPES";"PP";"PP - PP / PROS";"Não eleito";92015;45,55;427;"MUNICIPAL";"2";"11";842;842;0;842;0;842;0;333031;333031;0;333031;0;219205;113826;"0";202007;202007;5845;11353;11353;0;0;202007;0;0;219205
"1";"250000678328";71579;19;"APRIGIO";"PODE";"PODE - PODE / PSD / PSC / PATRIOTA";"Eleito";67853;50,63;427;"MUNICIPAL";"2";"11";536;536;0;536;0;536;0;217479;217479;0;217479;0;153524;63955;"0";134011;134011;6625;12888;12888;0;0;134011;0;0;153524
"2";"250000673436";71579;45;"ENGENHEIRO DANIEL";"PSDB";"PSDB - REPUBLICANOS / PTB / REDE / DC / PMB / PSDB";"Não eleito";66158;49,37;427;"MUNICIPAL";"2";"11";536;536;0;536;0;536;0;217479;217479;0;217479;0;153524;63955;"0";134011;134011;6625;12888;12888;0;0;134011;0;0;153524
"2";"180000652870";12190;45;"KLEBER MONTEZUMA";"PSDB";"PSDB - PSDB / PP / PSL / AVANTE / PDT / DEM / PMB / PV / PODE";"Não eleito";142941;37,69;427;"MUNICIPAL";"2";"11";1501;1501;0;1501;0;1501;0;558661;558661;0;558661;0;420177;138484;"0";379280;379280;12094;28803;28803;0;0;379280;0;0;420177
"1";"180001033351";12190;15;"DR PESSOA";"MDB";"MDB - PRTB / MDB / PSB";"Eleito";236339;62,31;427;"MUNICIPAL";"2";"11";1501;1501;0;1501;0;1501;0;558661;558661;0;558661;0;420177;138484;"0";379280;379280;12094;28803;28803;0;0;379280;0;0;420177
"1";"250001117852";71838;15;"SAUD";"MDB";"MDB - REPUBLICANOS / PMB / MDB / PV / PROS / PATRIOTA";"Eleito";92770;65,01;427;"MUNICIPAL";"2";"11";602;602;0;602;0;602;0;229200;229200;0;229200;0;156827;72373;"0";142712;142712;4997;9118;9118;0;0;142712;0;0;156827
"2";"250000957564";71838;23;"LORENY";"CIDADANIA";"CIDADANIA - CIDADANIA / SOLIDARIEDADE / PSB";"Não eleito";49942;34,99;427;"MUNICIPAL";"2";"11";602;602;0;602;0;602;0;229200;229200;0;229200;0;156827;72373;"0";142712;142712;4997;9118;9118;0;0;142712;0;0;156827
"1";"190000637911";58971;70;"CAPITÃO NELSON";"AVANTE";"AVANTE - AVANTE / PL / PSDB";"Eleito";189719;50,79;427;"MUNICIPAL";"2";"11";1814;1814;0;1814;0;1814;0;663833;663833;0;663833;0;440481;223352;"0";373530;373530;18179;48772;48772;0;0;373530;0;0;440481
"2";"190000857139";58971;13;"DIMAS GADELHA";"PT";"PT - PT / PDT / REDE / PROS / PODE";"Não eleito";183811;49,21;427;"MUNICIPAL";"2";"11";1814;1814;0;1814;0;1814;0;663833;663833;0;663833;0;440481;223352;"0";373530;373530;18179;48772;48772;0;0;373530;0;0;440481
"2";"190001131229";58190;12;"CAIO VIANNA";"PDT";"PDT - PDT / PL / PSL / DC / PATRIOTA";"Não eleito";110094;47,6;427;"MUNICIPAL";"2";"11";1003;1003;0;1003;0;1003;0;360626;360626;0;360626;0;251110;109516;"0";110094;231268;5419;14423;14423;0;0;110094;0;121174;251110
"1";"190001009042";58190;55;"WLADIMIR GAROTINHO";"PSD";"PSD - PRTB / PP / MDB / PSD / PROS / PODE / PSC";"Não eleito";121174;52,4;427;"MUNICIPAL";"2";"11";1003;1003;0;1003;0;1003;0;360626;360626;0;360626;0;251110;109516;"0";110094;231268;5419;14423;14423;0;0;110094;0;121174;251110
"2";"250001098970";69698;40;"SUELY VILELA";"PSB";"PSB - PSD / PODE / SOLIDARIEDADE / PSB / CIDADANIA";"Não eleito";90065;36,84;427;"MUNICIPAL";"2";"11";1130;1130;0;1130;0;1130;0;441845;441845;0;441845;0;284505;157340;"0";244493;244493;10962;29050;29050;0;0;244493;0;0;284505
"1";"250000674980";69698;45;"DUARTE NOGUEIRA";"PSDB";"PSDB - PP / REPUBLICANOS / PSDB / DEM / PTB / PSC / PL";"Eleito";154428;63,16;427;"MUNICIPAL";"2";"11";1130;1130;0;1130;0;1130;0;441845;441845;0;441845;0;284505;157340;"0";244493;244493;10962;29050;29050;0;0;244493;0;0;284505
"2";"80001072803";57053;13;"JOAO COSER";"PT";"PT";"Não eleito";72684;41,5;427;"MUNICIPAL";"2";"11";638;638;0;638;0;638;0;251464;251464;0;251464;0;185724;65740;"0";175150;175150;4484;6090;6090;0;0;175150;0;0;185724
"1";"80001188308";57053;10;"DELEGADO PAZOLINI";"REPUBLICANOS";"REPUBLICANOS - MDB** / REPUBLICANOS / DEM / PTC / SOLIDARIEDADE";"Eleito";102466;58,5;427;"MUNICIPAL";"2";"11";638;638;0;638;0;638;0;251464;251464;0;251464;0;185724;65740;"0";175150;175150;4484;6090;6090;0;0;175150;0;0;185724
"2";"240000641609";80470;25;"JOÃO PAULO KLEINUBING";"DEM";"DEM - PP / DEM / PSD";"Não eleito";42026;27,9;427;"MUNICIPAL";"2";"11";604;604;0;604;0;604;0;247014;247014;0;247014;0;170333;76681;"0";150617;150617;6226;13490;13490;0;0;150617;0;0;170333
"1";"240000755895";80470;19;"MÁRIO HILDEBRANDT";"PODE";"PODE - PSDB / MDB / REPUBLICANOS / SOLIDARIEDADE / PODE";"Eleito";108591;72,1;427;"MUNICIPAL";"2";"11";604;604;0;604;0;604;0;247014;247014;0;247014;0;170333;76681;"0";150617;150617;6226;13490;13490;0;0;150617;0;0;170333
"1";"240000665004";81795;30;"ADRIANO SILVA";"NOVO";"NOVO";"Eleito";145269;55,43;427;"MUNICIPAL";"2";"11";999;999;0;999;0;999;0;403526;403526;0;403526;0;289069;114457;"0";262062;262062;8328;18679;18679;0;0;262062;0;0;289069
"2";"240001144430";81795;55;"DARCI DE MATOS";"PSD";"PSD - PSD / PL / PSDB / PP";"Não eleito";116793;44,57;427;"MUNICIPAL";"2";"11";999;999;0;999;0;999;0;403526;403526;0;403526;0;289069;114457;"0";262062;262062;8328;18679;18679;0;0;262062;0;0;289069
"1";"250000753044";62910;10;"DARIO SAADI";"REPUBLICANOS";"REPUBLICANOS - DEM / MDB / REPUBLICANOS / PSB / PSL";"Eleito";222030;57,07;427;"MUNICIPAL";"2";"11";2199;2199;0;2199;0;2199;0;843433;843433;0;843433;0;546136;297297;"0";389025;389025;45524;111587;111587;0;0;389025;0;0;546136
"2";"250000869099";62910;22;"RAFA ZIMBALDI";"PL";"PL - SOLIDARIEDADE / PSC / PP / PSDB / PROS / PL / PODE / AVANTE";"Não eleito";166995;42,93;427;"MUNICIPAL";"2";"11";2199;2199;0;2199;0;2199;0;843433;843433;0;843433;0;546136;297297;"0";389025;389025;45524;111587;111587;0;0;389025;0;0;546136
"2";"40000793782";2550;19;"AMAZONINO MENDES";"PODE";"PODE - PSL / CIDADANIA / PODE / MDB";"Não eleito";443747;48,73;427;"MUNICIPAL";"2";"11";3371;3371;0;3371;0;3371;0;1331613;1331613;0;1331613;0;1032901;298712;"0";910717;910717;43232;78952;78952;0;0;910717;0;0;1032901
"1";"40000868846";2550;70;"DAVID ALMEIDA";"AVANTE";"AVANTE - AVANTE / PMB / PTC / PRTB / PV / DEM / PROS";"Eleito";466970;51,27;427;"MUNICIPAL";"2";"11";3371;3371;0;3371;0;3371;0;1331613;1331613;0;1331613;0;1032901;298712;"0";910717;910717;43232;78952;78952;0;0;910717;0;0;1032901
"2";"60000653316";13897;90;"CAPITÃO WAGNER";"PROS";"PROS - PROS / REPUBLICANOS / PODE / PSC / PMB / PMN / PTC / DC / AVANTE";"Não eleito";624892;48,31;427;"MUNICIPAL";"2";"11";4573;4573;0;4573;0;4573;0;1821382;1821382;0;1821382;0;1406423;414959;"0";1293544;1293544;35081;77798;77798;0;0;1293544;0;0;1406423
"1";"60000684211";13897;12;"SARTO";"PDT";"PDT - PP / PDT / PTB / PL / PSB / DEM / PSD / CIDADANIA / REDE / PSDB";"Eleito";668652;51,69;427;"MUNICIPAL";"2";"11";4573;4573;0;4573;0;4573;0;1821382;1821382;0;1821382;0;1406423;414959;"0";1293544;1293544;35081;77798;77798;0;0;1293544;0;0;1406423
"1";"60000718891";13730;90;"VITOR VALIM";"PROS";"PROS - PTC / PROS / REPUBLICANOS / PSC / PL";"Eleito";83588;51,08;427;"MUNICIPAL";"2";"11";590;590;0;590;0;590;0;222128;222128;0;222128;0;180763;41365;"0";163633;163633;5278;11852;11852;0;0;163633;0;0;180763
"2";"60001074114";13730;55;"NAUMI AMORIM";"PSD";"PSD - PTB / AVANTE / DEM / PSD / PSL / DC / PDT / SOLIDARIEDADE";"Não eleito";80045;48,92;427;"MUNICIPAL";"2";"11";590;590;0;590;0;590;0;222128;222128;0;222128;0;180763;41365;"0";163633;163633;5278;11852;11852;0;0;163633;0;0;180763
"2";"130001244953";43710;25;"FELIPE SALIBA";"DEM";"DEM - SOLIDARIEDADE** / PODE / DEM / PSD / PP / PROS";"Não eleito";139987;48,65;427;"MUNICIPAL";"2";"11";1204;1204;0;1204;0;1204;0;427575;427575;0;427575;0;329489;98086;"0";287755;287755;12974;28760;28760;0;0;287755;0;0;329489
"1";"130000868914";43710;13;"MARÍLIA";"PT";"PT - PSB / PT / MDB / PC do B";"Eleito";147768;51,35;427;"MUNICIPAL";"2";"11";1204;1204;0;1204;0;1204;0;427575;427575;0;427575;0;329489;98086;"0";287755;287755;12974;28760;28760;0;0;287755;0;0;329489
"2";"160000858805";77771;20;"MABEL CANTO";"PSC";"PSC - PODE / PSC / PSB / CIDADANIA / PDT / PP";"Não eleito";79929;47,62;427;"MUNICIPAL";"2";"11";610;610;0;610;0;610;0;239611;239611;0;239611;0;179956;59655;"0";167861;167861;4439;7656;7656;0;0;167861;0;0;179956
"1";"160000951969";77771;55;"PROFESSORA ELIZABETH";"PSD";"PSD - PV / AVANTE / PSDB / PSD";"Eleito";87932;52,38;427;"MUNICIPAL";"2";"11";610;610;0;610;0;610;0;239611;239611;0;239611;0;179956;59655;"0";167861;167861;4439;7656;7656;0;0;167861;0;0;179956
"2";"250000663708";64777;13;"ELÓI PIETÁ";"PT";"PT - PT / REDE / SOLIDARIEDADE";"Não eleito";238463;42,17;427;"MUNICIPAL";"2";"11";2244;2244;0;2244;0;2244;0;872880;872880;0;872880;0;665032;207848;"0";565485;565485;29126;70421;70421;0;0;565485;0;0;665032
"1";"250001156020";64777;55;"GUTI";"PSD";"PSD - CIDADANIA / REPUBLICANOS / MDB / PODE / PSC / PTC / PSB / PSD / PATRIOTA";"Eleito";327022;57,83;427;"MUNICIPAL";"2";"11";2244;2244;0;2244;0;2244;0;872880;872880;0;872880;0;665032;207848;"0";565485;565485;29126;70421;70421;0;0;565485;0;0;665032
"2";"190000684240";60011;10;"CRIVELLA";"REPUBLICANOS";"REPUBLICANOS - PODE / PTC / PMN / PRTB / REPUBLICANOS / PP / PATRIOTA / SOLIDARIEDADE";"Não eleito";913700;35,93;427;"MUNICIPAL";"2";"11";11467;11467;0;11467;0;11467;0;4851887;4851887;0;4851887;0;3131733;1720154;"0";2543019;2543019;157610;431104;431104;0;0;2543019;0;0;3131733
"1";"190000688286";60011;25;"EDUARDO PAES";"DEM";"DEM - CIDADANIA / DC / PV / AVANTE / PL / DEM / PSDB";"Eleito";1629319;64,07;427;"MUNICIPAL";"2";"11";11467;11467;0;11467;0;11467;0;4851887;4851887;0;4851887;0;3131733;1720154;"0";2543019;2543019;157610;431104;431104;0;0;2543019;0;0;3131733
"2";"90000801738";92215;13;"ANTONIO GOMIDE";"PT";"PT - PT / PC do B / PMB";"Não eleito";64046;38,72;427;"MUNICIPAL";"2";"11";743;743;0;743;0;743;0;269556;269556;0;269556;0;180833;88723;"0";165395;165395;4928;10510;10510;0;0;165395;0;0;180833
"1";"90000687807";92215;11;"ROBERTO NAVES";"PP";"PP - PODE / PSC / CIDADANIA / PP / DEM / PDT / PL / DC / PMN / PSB / PV / SOLIDARIEDADE / AVANTE";"Eleito";101349;61,28;427;"MUNICIPAL";"2";"11";743;743;0;743;0;743;0;269556;269556;0;269556;0;180833;88723;"0";165395;165395;4928;10510;10510;0;0;165395;0;0;180833
"2";"80001001602";56251;13;"CELIA TAVARES";"PT";"PT - PT / SOLIDARIEDADE";"Não eleito";67111;41,31;427;"MUNICIPAL";"2";"11";660;660;0;660;0;660;0;262414;262414;0;262414;0;183873;78541;"0";162467;162467;9789;11617;11617;0;0;162467;0;0;183873
"1";"80000981710";56251;25;"EUCLERIO SAMPAIO";"DEM";"DEM - DEM / PMN / AVANTE / CIDADANIA / REPUBLICANOS / PODE";"Eleito";95356;58,69;427;"MUNICIPAL";"2";"11";660;660;0;660;0;660;0;262414;262414;0;262414;0;183873;78541;"0";162467;162467;9789;11617;11617;0;0;162467;0;0;183873
