"sg_ue";"nr_candidato";"nm_urna_candidato";"sg_partido";"ds_composicao_coligacao";"ds_situacao";"qt_votos_candidato";"pr_votos_candidato";"cd_eleicao";"sg_abrangencia";"turno";"cd_cargo";"qt_sessoes";"qt_sessoes_t";"qt_sessoes_nt";"qt_sessoes_i";"qt_sessoes_ni";"qt_sessoes_apuradas";"qt_sessoes_nao_apuradas";"qt_eleitores";"qt_eleitores_aptos";"qt_eleitores_nao_aptos";"qt_eleitores_si";"qt_eleitores_sni";"qt_eleitores_compareceram";"qt_abstencoes";"vscv";"qt_votos_nominais";"qt_votos_computados";"qt_votos_brancos";"qt_votos_nulos";"qt_votos_nulos_vn";"qt_votos_nulos_vnt";"qt_votos_vp";"qt_votos_validos";"qt_votos_an";"qt_votos_anulados_sob_judice";"qt_votos_total"
1040;90;"SILVANO QUEIROZ";"PROS";"PROS - PROS / PSC";"Não eleito";549;6,56;426;"MUNICIPAL";1;11;34;34;0;34;0;34;0;10491;10491;0;10491;0;8616;1875;0;8373;8373;15;228;228;0;0;8373;0;0;8616
1058;13;"FERNANDA HASSEM";"PT";"PT - SOLIDARIEDADE / PC do B / DC / PROS / PSB / PT / PP";"Eleito";7651;59,46;426;"MUNICIPAL";1;11;51;51;0;51;0;51;0;16844;16844;0;16844;0;13522;3322;0;12868;12868;125;529;529;0;0;12868;0;0;13522
1058;45;"MANOEL PRETE";"PSDB";"PSDB";"Não eleito";627;4,87;426;"MUNICIPAL";1;11;51;51;0;51;0;51;0;16844;16844;0;16844;0;13522;3322;0;12868;12868;125;529;529;0;0;12868;0;0;13522
1058;15;"LEILA GALVÃO";"MDB";"MDB - MDB / PTB / PSL / PL / AVANTE / PSD";"Não eleito";4590;35,67;426;"MUNICIPAL";1;11;51;51;0;51;0;51;0;16844;16844;0;16844;0;13522;3322;0;12868;12868;125;529;529;0;0;12868;0;0;13522
1066;90;"ARNOLDO LIMA";"PROS";"PROS - PP / PT / PROS / PDT / PSB";"Não eleito";2012;37,1;426;"MUNICIPAL";1;11;23;23;0;23;0;23;0;6570;6570;0;6570;0;5658;912;0;5423;5423;21;214;214;0;0;5423;0;0;5658
1066;15;"CESAR ANDRADE";"MDB";"MDB - MDB / PL / PSDB / PSD / PC do B / DEM";"Eleito";3411;62,9;426;"MUNICIPAL";1;11;23;23;0;23;0;23;0;6570;6570;0;6570;0;5658;912;0;5423;5423;21;214;214;0;0;5423;0;0;5658
1074;17;"SARGENTO ADONIS";"PSL";"PSL - PSL / DEM";"Não eleito";9077;21,35;426;"MUNICIPAL";1;11;168;168;0;168;0;168;0;55749;55749;0;55749;0;44533;11216;0;42509;42509;583;1441;1441;0;0;42509;0;0;44533
1074;11;"ZEQUINHA LIMA";"PP";"PP - PDT / PSB / SOLIDARIEDADE / PP / PSD / PROS / PC do B / PT / DC";"Eleito";18766;44,15;426;"MUNICIPAL";1;11;168;168;0;168;0;168;0;55749;55749;0;55749;0;44533;11216;0;42509;42509;583;1441;1441;0;0;42509;0;0;44533
1074;15;"FAGNER SALES";"MDB";"MDB - PMN / MDB / PSDB / REPUBLICANOS / PSC / AVANTE / PL";"Não eleito";14666;34,5;426;"MUNICIPAL";1;11;168;168;0;168;0;168;0;55749;55749;0;55749;0;44533;11216;0;42509;42509;583;1441;1441;0;0;42509;0;0;44533
1082;14;"DR EMERSON";"PTB";"PTB - DEM / PTB";"Não eleito";343;3,82;426;"MUNICIPAL";1;11;39;39;0;39;0;39;0;11388;11388;0;11388;0;9303;2085;0;8971;8971;38;294;294;0;0;8971;0;0;9303
1082;13;"BURICA";"PT";"PT - PT / MDB";"Não eleito";2340;26,08;426;"MUNICIPAL";1;11;39;39;0;39;0;39;0;11388;11388;0;11388;0;9303;2085;0;8971;8971;38;294;294;0;0;8971;0;0;9303
